02P.DE,PEARL GOLD
FME.DE,FRESEN MED CARE KGAA
FNG.DE,FRITZ NOLS
FNTN.DE,FREENET
FPE.DE,FUCHS PETROLUB
FPE3.DE,FUCHS PETROL VZO
FPH.DE,FRANCOTYP POSTALIA
FRA.DE,FRAPORT FFM AIRPORT
FRE.DE,FRESENIUS + CO KGAA
FRO.DE,FROEHLICH BAU
FRO3.DE,FROEHLICH BAU VZO
FRS.DE,FORIS
FRU.DE,FERRATUM OYJ
FT8.DE,FIRSTEXTILE
FVI.DE,FAIR VALUE REIT INH
G1A.DE,GEA GROUP
G24.DE,SCOUT24
G7B.DE,GWB IMMOBILIEN INH
GBF.DE,BILFINGER
GEB.DE,GERMAN BROKERS
GFK.DE,GFK
GFT.DE,GFT TECHNOLOGIES
GGS.DE,GIGASET
GIB.DE,GSW IMMOBILIEN
GIL.DE,DMG MORI
GIR.DE,GIRINDUS IL
GKS.DE,GK SOFTWARE
GLJ.DE,GRENKELEASING
GME.DE,GERATHERM
GMM.DE,GRAMMER
GSC1.DE,GESCO
GWI1.DE,GERRY WEBER INTERNAT
GXI.DE,GERRESHEIMER
H2FA.DE,HELIOCENTRIS EN SOL
H8K.DE,HAIKUI SEAFOOD
H9Y.DE,HANSEYACHTS
HAB.DE,HAMBORNER REIT
HAW.DE,HAWESKO HOLDING SVG
HBD1.DE,FINDATA GRP
HBH.DE,HORNBACH HOLD ST
HBM.DE,HORNBACH BAUMARKT
HDD.DE,HEIDELBERG DRUCKMA
HEI.DE,HEIDELBERGCEMENT
HEN.DE,HENKEL + CO KGAA ST
HEN3.DE,HENKEL + CO KGAA VZO
HETA.DE,KHD HUMB WEDAG IND
HEZ.DE,PELIKAN
HHFA.DE,HAMBURG HAFEN U LOG A SP
HLAG.DE,HAPAG LLOYD NA
HLE.DE,HELLA KGAA HUECK + CO
HNL.DE,DR HOENLE
HNR1.DE,HANN RUECK
HOT.DE,HOCHTIEF
HOZ.DE,PHILIPP HOLZMANN
HRPK.DE,7C SOLARPARKEN
HUL.DE,BHS TABLETOP
HWSA.DE,METRIC MOB SOL
HYQ.DE,HYPOPORT
I7N.DE,ITN NANOVATION
ICP.DE,PANAMAX
IFA.DE,IFA HOTEL U TOURISTI
IFS.DE,INFAS
IFX.DE,INFINEON TECH
INH.DE,INDUS HOLDING
IPO.DE,HEIDEL BETEIL
IS7.DE,INTICA SYSTEMS
ISH2.DE,INTERSHOP COMM
ISR.DE,ISRA VISION
ITN.DE,INTERTAINMENT
IUR.DE,KAP BETEILIGUNGS
IVU.DE,IVU TRAFFIC TECHN
IVX.DE,INVISION
IWB.DE,ISARIA WOHNBAU
IXX.DE,INIT INNOVATION
JEN.DE,JENOPTIK
JJO.DE,JJ AUTO
JUN3.DE,JUNGHEINRICH ON VZO
JY8.DE,JOYOU
K1R.DE,KROMI LOGISTIK INH
KA8.DE,KLASSIK RADIO
KBC.DE,KONTRON
KCO.DE,KLOECKNER + CO
KD8.DE,KABEL DT HOLDING
KGX.DE,KION GROUP
KPH.DE,KAMPA
KRN.DE,KRONES
KSB.DE,KSB ON ST
KSB3.DE,KSB ON VZO
KSC.DE,KPS
KU2.DE,KUKA
KWG.DE,KHD HUMBOLDT WEDAG
KWS.DE,KWS SAAT
LEG.DE,LEG IMMOBILIEN
LEI.DE,LEIFHEIT
LEO.DE,LEONI
LHA.DE,LUFTHANSA VNA
LIN.DE,LINDE
LIO1.DE,SYGNIS
LNSX.DE,SIXT LEASING
LO24.DE,LOTTO24
LPK.DE,LPKF LASER + ELECTRON
LSX.DE,LS TELCOM
LUM.DE,AIS
LXS.DE,LANXESS
M3V.DE,MEVIS MEDICAL SOL
M5Z.DE,MANZ
MAK.DE,MATERNUS KLI
MAN.DE,MAN ST
MAN3.DE,MAN VZO
MAU.DE,MAUSER WALDECK IL
MBB.DE,MBB
MBH3.DE,MASCH BERT HER ON VZO
MDG1.DE,MEDIGENE
MDN.DE,MEDION
MED.DE,MEDICLIN
MEO.DE,METRO ST
MEO3.DE,METRO VZO
MGN.DE,MOLOGEN
MHH.DE,MEDISANA
ML2.DE,MING LE SPORTS
MLL.DE,MUELLER DIE LILA LOGISTIK
MLP.DE,MLP
MNV6.DE,MAINOVA
MOR.DE,MORPHOSYS
MPRK.DE,MAIER + PARTNER
MPS.DE,MUEHL PROD + SERV
MRK.DE,MERCK KGAA
MSAG.DE,MS INDUSTRIE
MSGL.DE,MSG LIFE
MSH.DE,WASGAU PROD HANDELS
MTX.DE,MTU AERO ENGINES
MUS.DE,M + S ELEKTRONIK
MUV2.DE,MUENCH RUECKVERS VNA
MVV1.DE,MVV ENERGIE
MXH.DE,MAX AUTOMATION
MYRK.DE,MYHAMMER HOLDING
MZX.DE,MASTERFLEX
NC5A.DE,NORCOM INF TECHN
NDA.DE,AURUBIS
NDX1.DE,NORDEX
NEM.DE,NEMETSCHEK
NOEJ.DE,NORMA GROUP
NSN.DE,NESCHEN
NSU.DE,AUDI
NWX.DE,NORDWEST HANDEL
NXU.DE,NEXUS
O1BC.DE,XING NA
O2D.DE,TELEFONICA DTLD
O4B.DE,OVB HOLDING
OBS.DE,ORBIS
ODE.DE,ODEON FILM
OHB.DE,OHB
OLG.DE,S GOBAIN OBERLAND
OSP2.DE,USU SOFTWARE
OSR.DE,OSRAM LICHT
P1Z.DE,PATRIZIA IMMOBILIEN
PA8.DE,PAION
PAH3.DE,PORSCHE AUTOM VZO
PBB.DE,DT PFANDBRIEFBK
PFTA.DE,ELANIX BIOTECHN
PFV.DE,PFEIFFER VACUUM TECH
PGN.DE,PARAGON
PIT.DE,PITTLER MA FABR
PMOX.DE,DO DT OFFICE
PNE3.DE,PNE WIND
PRA.DE,PRAKTIKER
PS4.DE,PHOENIX SOLAR
PSAN.DE,PSI
PSM.DE,PROSIEBENSAT 1
PUM.DE,PUMA
PUZ.DE,PONGS + ZAHN
PWO.DE,PROGRESS WERK OBERK
QIA.DE,QIAGEN EO
QSC.DE,QSC
RAA.DE,RATIONAL
RHK.DE,RHOEN KLINIKUM
RHM.DE,RHEINMETALL
RILB.DE,RINOL
RKB.DE,WEBAC HOLDING
RRTL.DE,RTL GROUP
RSB.DE,ABWICKLUNGSG ROESCH
RSL2.DE,R STAHL
RSTA.DE,RIB SOFTWARE
RTC.DE,REALTECH
RTMK.DE,HESSE NEWMAN CAP
RTV.DE,YOUR FAMILY ENTER
RWE.DE,RWE ST
RWE3.DE,RWE VZO
RY8.DE,ROY CERAMICS
S4A.DE,SMT SCHARF
S92.DE,SMA SOLAR TECHNOL
SAHA.DE,SACHSENMILCH
SAP.DE,SAP
SAX.DE,STROEER
SAZ.DE,STADA ARZNEIMITT VNA
SBS.DE,STRATEC BIOMEDICAL NAM
SCE.DE,SCHWEIZER ELECTR
SCM.DE,SCHUMAG
SCO.DE,CYBITS HOLDING
SDF.DE,K + S
SFP1.DE,SOFTMATIC
SFQ.DE,SAF HOLLAND SA EO
SFX.DE,SOLAR FABRIK
SGL.DE,SGL CARBON
SHA.DE,SCHAEFFLER INH VZO
SHF.DE,SNP SCHNEID NEUREIT
SIE.DE,SIEMENS
SIM.DE,SIMONA
SIN.DE,SINNER
SIS.DE,FIRST SENSOR
SIX2.DE,SIXT ST
SIX3.DE,SIXT VZO
SK1A.DE,SKW STAHL METAL HLDG
SKB.DE,KOENIG + BAUER ST
SLT.DE,SCHALTBAU HOLDING
SMHN.DE,SUESS MICROTEC
SNG.DE,SINGULUS TECHNOL
SOW.DE,SOFTWARE
SPM.DE,SPL MEDIEN
SPR.DE,A SPRINGER VNA
SRT.DE,SARTORIUS
SRT3.DE,SARTORIUS VZO
STB1.DE,STRABAG
STE.DE,STEILMANN
STM.DE,STABILUS SA INH EO
STO3.DE,STO + CO KGAA VZO
STR.DE,STOEHR + CO
SUR.DE,SURTECO
SW1.DE,SHW
SWA.DE,SCHLOSS WACHENHEIM
SWVK.DE,SOLARWORLD
SY1.DE,SYMRISE INH
SYT.DE,SOFTING
SYZ.DE,SYZYGY
SZG.DE,SALZGITTER
SZU.DE,SUEDZUCKER
SZZ.DE,SINNERSCHRADER
TBR.DE,TINTBRIGHT
TC1.DE,TELE COLUMBUS
TCU.DE,TC UNTERHALTUNGSELEK
TEG.DE,TAG IMMOBILIEN
TFA.DE,TOMORROW FOCUS
TGT.DE,TELEGATE
TIM.DE,ZEAL NETWORK EO 1
TIS.DE,TISCON
TKA.DE,THYSSENKRUPP
TLG.DE,TLG IMMOBILIEN
TLI.DE,TELES INFORM TECHN
TLX.DE,TALANX
TPE.DE,PVA TEPLA
TTI.DE,TOM TAILOR HOLDG
TTK.DE,TAKKT
TTO.DE,TTL INF TECHN
TTR1.DE,TECHNOTRANS
TUR.DE,TURBON
TVD6.DE,TRAVEL24 COM
TXA.DE,AMATECH
ULC.DE,UNITED LABELS
UMS.DE,UMS IL
UP7.DE,UTD POWER TECHN
UPR.DE,UNIPROF REAL HLD
US5.DE,ULTRASONIC
USE.DE,BEATE UHSE
UTDI.DE,UTD INTERNET
UUU.DE,3U HOLDING
UZU.DE,UZIN UTZ
V33.DE,VTION WIRELESS TECH
V3V.DE,VITA 34
V6C.DE,VISCOM
VBHK.DE,VBH HOLDING
VBK.DE,VERBIO VER BIOENERGIE
VC8.DE,VANCAMEL
VDN.DE,VDN
VG0K.DE,VIVANCO GRUPPE
VIB3.DE,VILLEROY + BOCH VZ
VMR1.DE,VALUE MANAGEM + RES
VNA.DE,VONOVIA
VOS.DE,VOSSLOH
VOW.DE,VOLKSWAGEN ST
VOW3.DE,VOLKSWAGEN VZO
VSC.DE,4 SC
VT9.DE,VTG
WAC.DE,WACKER NEUSON
WAF.DE,SILTRONIC
WAN.DE,WANDERER WERKE AKTIEN
WBAG.DE,WILD BUNCH
WCH.DE,WACKER CHEMIE
WCMK.DE,WCM BET GRD
WDI.DE,WIRECARD
WDL.DE,WINDELN DE
WIG1.DE,WIGE MEDIA
WIN.DE,WINCOR NIXDORF
WL6.DE,WILEX
WSU.DE,WASHTEC
WTB.DE,WALTER BAU ST
WTB3.DE,WALTER BAU VZO
WUG.DE,WESTAG + GETALIT ST
WUG3.DE,WESTAG + GETALIT VZO
WUW.DE,WUESTENROT + WUERTT
WWG.DE,GELSENWASSER
XMY.DE,MYBET HOLDING
YB1.DE,YOUBISHENG GR PAPER
YMO.DE,YMOS
YOC.DE,YOC
YSN.DE,SECUNET SECURITY
ZAL.DE,ZALANDO
ZEF.DE,ZHONGDE WASTE TECHNOLOGY
ZIL2.DE,ELRINGKLINGER
ZO1.DE,ZOOPLUS
