1301.JP,KYOKUYO
1935.JP,TTK
1937.JP,SEIBU ELECTRIC INDUSTRY
1938.JP,NIPPON RIETEC
1939.JP,YONDENKO
1941.JP,CHUDENKO
1942.JP,KANDENKO
1944.JP,KINDEN
1945.JP,TOKYO ENERGY SYSTEMS
1946.JP,TOENEC
1948.JP,THE KODENSHA
1949.JP,SUMITOMO DENSETSU
1950.JP,NIPPON DENSETSU KOGYO
1951.JP,KYOWA EXEO
1952.JP,SHIN NIPPON AIR TECHNOLOGIES
1954.JP,NIPPON KOEI
1956.JP,NDS
1959.JP,KYUDENKO
1960.JP,SANYO ENGINEERING CONSTRUCTION
1961.JP,SANKI ENGINEERING
1963.JP,JGC
1964.JP,CHUGAI RO
1965.JP,TECHNO RYOWA
1966.JP,TAKADA
1967.JP,YAMATO
1968.JP,TAIHEI DENGYO KAISHA
1969.JP,TAKASAGO THERMAL ENGINEERING
1971.JP,CHUO BUILD INDUSTRY
1972.JP,SANKO METAL INDUSTRIAL
1973.JP,NEC NETWORKS SYSTEM INTEGRATION
1975.JP,ASAHI KOGYOSHA
1976.JP,MEISEI INDUSTRIAL
1979.JP,TAIKISHA
1980.JP,DAI DAN
1981.JP,KYOWANISSEI
1982.JP,HIBIYA ENGINEERING
1983.JP,TOSHIBA PLANT SYSTEMS SERVICES
1984.JP,SANSHIN
1987.JP,SOLCOM
1989.JP,HOKURIKU DENWA KOUJI
1992.JP,KANDA TSUSHINKI
1994.JP,TAKAHASHI CURTAIN WALL
1997.JP,AKATSUKI EAZIMA
2001.JP,NIPPON FLOUR MILLS
2002.JP,NISSHIN SEIFUN GROUP
2003.JP,NITTO FUJI FLOUR MILLING
2004.JP,SHOWA SANGYO
2006.JP,TOFUKU FLOUR MILLS
2008.JP,MASUDA FLOUR MILLING
2009.JP,THE TORIGOE
2053.JP,CHUBU SHIRYO
2055.JP,NICHIWA SANGYO
2060.JP,FEED ONE
2107.JP,TOYO SUGAR REFINING
2108.JP,NIPPON BEET SUGAR MANUFACTURING
2109.JP,MITSUI SUGAR
2112.JP,ENSUIKO SUGAR REFINING
2114.JP,FUJI NIHON SEITO
2117.JP,NISSIN SUGAR
2120.JP,NEXT
2121.JP,MIXI
2122.JP,INTERSPACE
2124.JP,JAC RECRUITMENT
2127.JP,NIHON M A CENTER
2128.JP,NOVARESE
2131.JP,ACCORDIA GOLF
2132.JP,IREP
2134.JP,SUN CAPITAL MANAGEMENT
2136.JP,HIP
2138.JP,CROOZ
2139.JP,CHUCO
2144.JP,YAMANE MEDICAL
2145.JP,DATALINKS
2146.JP,UT GROUP
2148.JP,ITMEDIA
2150.JP,CARENET
2151.JP,TAKEEI
2152.JP,YOUJI
2153.JP,EJ HOLDINGS
2154.JP,TRUST TECH
2156.JP,SAYLOR ADVERTISING
2157.JP,KOSHIDAKA HOLDINGS
2158.JP,UBIC
2159.JP,FULL SPEED
2160.JP,GNI GROUP
2162.JP,NIPPON MANUFACTURING SERVICE
2163.JP,ARTNER
2164.JP,CHIIKISHINBUNSHA
2168.JP,PASONA GROUP
2169.JP,CDS
2170.JP,LINK AND MOTIVATION
2173.JP,HAKUTEN
2174.JP,GCA SAVVIAN
2175.JP,SMS
2176.JP,INA RESEARCH
2178.JP,TRI STAGE
2179.JP,SEIGAKUSYA
2180.JP,SUNNY SIDE UP
2181.JP,TEMP HOLDINGS
2183.JP,LINICAL
2185.JP,CMC
2186.JP,SOBAL
2191.JP,TELLA
2193.JP,COOKPAD
2195.JP,AMITA HOLDINGS
2196.JP,ESCRIT
2198.JP,IKK
2201.JP,MORINAGA
2204.JP,NAKAMURAYA
2206.JP,EZAKI GLICO
2207.JP,MEITO SANGYO
2208.JP,BOURBON
2209.JP,IMURAYA GROUP
2211.JP,FUJIYA
2212.JP,YAMAZAKI BAKING
2215.JP,FIRST BAKING
2216.JP,KANRO
2217.JP,MOROZOFF
2220.JP,KAMEDA SEIKA
2221.JP,IWATSUKA CONFECTIONERY
2222.JP,KOTOBUKI SPIRITS
2224.JP,COMO
2226.JP,FRENTE
2228.JP,CYBELE
2229.JP,CALBEE
2230.JP,GOYO FOODS INDUSTRY
2264.JP,MORINAGA MILK INDUSTRY
2266.JP,ROKKO BUTTER
2267.JP,YAKULT HONSHA
2268.JP,B R 31 ICE CREAM
2269.JP,MEIJI HOLDINGS
2270.JP,MEGMILK SNOW BRAND
2281.JP,PRIMA MEAT PACKERS
2282.JP,NH FOODS
2284.JP,ITOHAM FOODS
2286.JP,HAYASHIKANE SANGYO
2288.JP,MARUDAI FOOD
2290.JP,YONEKYU
2291.JP,FUKUTOME MEAT PACKERS
2292.JP,S FOODS
2293.JP,TAKIZAWA HAM
2294.JP,KAKIYASU HONTEN
2300.JP,KYOKUTO
2301.JP,GAKUJO
2303.JP,DAWN
2304.JP,CSS HOLDINGS
2305.JP,STUDIO ALICE
2307.JP,CROSS CAT
2309.JP,CMIC HOLDINGS
2311.JP,EPCO
2315.JP,SJI
2317.JP,SYSTENA
2321.JP,SOFTFRONT
2323.JP,FONFUN
2325.JP,NJS
2326.JP,DIGITAL ARTS
2327.JP,NS SOLUTIONS
2329.JP,TOHOKUSHINSHA FILM
2330.JP,FORSIDE
2331.JP,SOHGO SECURITY SERVICES
2332.JP,QUEST
2335.JP,CUBE SYSTEM
2337.JP,ICHIGO
2338.JP,FASTEPS
2340.JP,GOKURAKUYU
2341.JP,ARBEIT TIMES
2342.JP,TRANS GENIC
2344.JP,HEIAN CEREMONY SERVICE
2345.JP,SYSTEM TECHNOLOGY I
2349.JP,NIPPON INFORMATION DEVELOPMENT
2351.JP,ASJ
2352.JP,AZIA
2353.JP,NIPPON PARKING DEVELOPMENT
2354.JP,YASKAWA INFORMATION SYSTEMS
2359.JP,CORE
2362.JP,YUMESHIN HOLDINGS
2369.JP,MEDIBIC GROUP
2370.JP,MEDINET
2371.JP,KAKAKUCOM
2372.JP,I ROM GROUP
2373.JP,CARE TWENTYONE
2374.JP,SAINT CARE HOLDING
2375.JP,THREEPRO GROUP
2376.JP,SCINEX
2378.JP,RENAISSANCE
2379.JP,DIP
2384.JP,SBS HOLDINGS
2385.JP,SOIKEN HOLDINGS
2388.JP,WEDGE HOLDINGS
2389.JP,OPT HOLDING
2391.JP,PLANET
2393.JP,NIPPON CARE SUPPLY
2395.JP,SHIN NIPPON BIOMEDICAL LABORATORIES
2397.JP,DNA CHIP RESEARCH
2398.JP,TSUKUI
2399.JP,SOGO RINSHO HOLDINGS
2400.JP,MESSAGE
2402.JP,AMANA
2404.JP,TETSUJIN
2405.JP,FUJIKOH COMPANY
2406.JP,ARTE SALON HOLDINGS
2408.JP,KG INTELLIGENCE
2410.JP,CAREER DESIGN CENTER
2411.JP,GENDAI AGENCY
2412.JP,BENEFIT ONE
2413.JP,M3
2415.JP,HUMAN HOLDINGS
2417.JP,ZWEI
2418.JP,TSUKADA GLOBAL HOLDINGS
2425.JP,CARE SERVICE
2427.JP,OUTSOURCING
2428.JP,WELLNET
2429.JP,WORLD HOLDINGS
2432.JP,DENA
2433.JP,HAKUHODO DY HOLDINGS
2435.JP,CEDAR
2436.JP,KYODO PUBLIC RELATIONS
2437.JP,SHINWA ART AUCTION
2438.JP,ASUKANET COMPANY
2440.JP,GURUNAVI
2445.JP,SRG TAKAMIYA
2449.JP,PRAP JAPAN
2450.JP,IKYU
2453.JP,JAPAN BEST RESCUE SYSTEM
2454.JP,ALL ABOUT
2458.JP,YUME TECHNOLOGY
2459.JP,AUN CONSULTING
2461.JP,F@N COMMUNICATIONS
2462.JP,J COM HOLDINGS
2464.JP,BUSINESS BREAKTHROUGH
2468.JP,FUETREK
2469.JP,HIBINO
2471.JP,S POOL
2475.JP,WDB HOLDINGS
2477.JP,HIKAKUCOM
2479.JP,JTEC
2480.JP,SYSTEM LOCATION
2481.JP,TOWNNEWS SHA
2483.JP,HONYAKU CENTER
2484.JP,YUME NO MACHI SOUZOU IINKAI
2485.JP,TEAR
2487.JP,CDG
2488.JP,JAPAN THIRD PARTY
2489.JP,ADWAYS
2491.JP,VALUECOMMERCE
2492.JP,INFOMART
2493.JP,E SUPPORTLINK
2497.JP,UNITED
2498.JP,ACKG
2499.JP,NIHONWASOU HOLDINGS
2501.JP,SAPPORO HOLDINGS
2502.JP,ASAHI GROUP HOLDINGS
2503.JP,KIRIN HOLDINGS COMPANY
2531.JP,TAKARA HOLDINGS
2533.JP,OENON HOLDINGS
2538.JP,JAPAN FOOD LIQUOR ALLIANCE
2540.JP,YOMEISHU SEIZO
2573.JP,HOKKAIDO COCA COLA BOTTLING
2579.JP,COCA COLA WEST COMPANY
2580.JP,COCA COLA EAST JAPAN
2586.JP,FRUTA FRUTA
2587.JP,SUNTORY BEVERAGE FOOD
2588.JP,WATER DIRECT
2590.JP,DYDO DRINCO
2593.JP,ITO EN
25935.JP,ITO EN
2594.JP,KEY COFFEE INC
2597.JP,UNICAFE
2599.JP,JAPAN FOODS
2602.JP,THE NISSHIN OILLIO GROUP
2607.JP,FUJI OIL HOLDINGS
2608.JP,BOSO OIL FAT
2611.JP,SETTSU OIL MILL
2612.JP,KADOYA SESAME MILLS
2613.JP,J OIL MILLS
2651.JP,LAWSON
2652.JP,MANDARAKE
2653.JP,AEON KYUSHU
2654.JP,ASMO
2655.JP,MAXVALU TOHOKU
2656.JP,VECTOR
2658.JP,URAI
2659.JP,SAN A
2662.JP,DAIYU EIGHT
2664.JP,CAWACHI
2666.JP,AUTOWAVE
2667.JP,IMAGEONE
2668.JP,TABIO
2669.JP,KANEMI
2670.JP,ABC MART
2673.JP,YUMEMITSUKETAI
2674.JP,HARD OFF
2675.JP,DYNAC
2676.JP,TAKACHIHO KOHEKI
2678.JP,ASKUL
2681.JP,GEO HOLDINGS
2683.JP,UOKI
2685.JP,ADASTRIA
2686.JP,GFOOT
2687.JP,CVS BAY AREA
2689.JP,KAWANISHI HOLDINGS
2692.JP,ITOCHU SHOKUHIN
2693.JP,YKT
2694.JP,G TASTE
2695.JP,KURA
2698.JP,CAN DO
2700.JP,KITOKU SHINRYO
2702.JP,MCDONALD S HOLDINGS COMPANY JAPAN
2703.JP,LITE ON JAPAN
2705.JP,OOTOYA HOLDINGS
2706.JP,BROCCOLI
2708.JP,KUZE
2710.JP,CS LOGINET
2714.JP,PLA MATELS
2715.JP,ELEMATEC
2719.JP,KITAMURA
2721.JP,J HOLDINGS
2722.JP,I K
2726.JP,PAL
2729.JP,JALUX
2730.JP,EDION
2733.JP,ARATA
2734.JP,SALA
2735.JP,WATTS
2736.JP,SADAMATSU COMPANY
2737.JP,TOMEN DEVICES
2742.JP,HALOWS
2743.JP,PIXEL COMPANYZ
2747.JP,HOKUYU LUCKY
2749.JP,JP HOLDINGS
2750.JP,S ISHIMITSU CO
2751.JP,TENPOS BUSTERS
2752.JP,FUJIO FOOD SYSTEM
2753.JP,AMIYAKI TEI
2754.JP,TOKATSU HOLDINGS
2760.JP,TOKYO ELECTRON DEVICE
2761.JP,TOSHIN GROUP
2762.JP,SANKO MARKETING FOODS
2763.JP,FTGROUP
2764.JP,HIRAMATSU
2767.JP,FIELDS
2768.JP,SOJITZ
2769.JP,VILLAGE VANGUARD
2772.JP,GENKY STORES
2773.JP,MUTUAL
2776.JP,CRYMSON
2777.JP,CASSINA IXC
2778.JP,PALEMO
2780.JP,KOMEHYO
2782.JP,SERIA
2784.JP,ALFRESA HOLDINGS
2786.JP,SAPPORO DRUG STORE
2788.JP,APPLE INTERNATIONAL
2789.JP,KARULA
2790.JP,NAFCO
2791.JP,DAIKOKUTENBUSSAN
2792.JP,HONEYS
2795.JP,NIPPON PRIMEX
2796.JP,PHARMARISE HOLDINGS
2798.JP,Y S TABLE
2801.JP,KIKKOMAN
2802.JP,AJINOMOTO
2804.JP,BULL DOG SAUCE
2805.JP,S B FOODS
2806.JP,YUTAKA FOODS
2809.JP,KEWPIE
2810.JP,HOUSE FOODS GROUP
2811.JP,KAGOME
2812.JP,YAIZU SUISANKAGAKU INDUSTRY
2813.JP,WAKOU SHOKUHIN
2814.JP,SATO FOODS INDUSTRIES
2815.JP,ARIAKE JAPAN
2816.JP,DAISHO
2817.JP,GABAN
2818.JP,PIETRO
2819.JP,EBARA FOODS INDUSTRY
2830.JP,AOHATA
2831.JP,HAGOROMO FOODS
2871.JP,NICHIREI
2872.JP,SEIHYO
2874.JP,YOKOHAMA REITO
2875.JP,TOYO SUISAN KAISHA
2876.JP,JC COMSA
2877.JP,NITTOBEST
2882.JP,EAT CO
2883.JP,DAIREI
2892.JP,NIHON SHOKUHIN KAKO
2894.JP,ISHII FOOD
2897.JP,NISSIN FOODS HOLDINGS
2899.JP,NAGATANIEN HOLDINGS
2901.JP,ISHIGAKI FOODS
2903.JP,SHINOBU FOODS PRODUCTS
2904.JP,ICHIMASA KAMABOKO
2905.JP,OK FOOD INDUSTRY
2907.JP,AHJIKAN
2908.JP,FUJICCO
2910.JP,ROCK FIELD
2911.JP,ASAHIMATSU FOODS
2914.JP,JAPAN TOBACCO
2915.JP,KENKO MAYONNAISE
2916.JP,SEMBA TOHKA INDUSTRIES
2917.JP,OHMORIYA
2918.JP,WARABEYA NICHIYO
2922.JP,NATORI
2923.JP,SATO FOODS
2924.JP,IFUJI SANGYO
2925.JP,PICKLES
2926.JP,SHINOZAKIYA
2927.JP,AFC HD AMS LIFE SCIENCE
2929.JP,PHARMA FOODS INTERNATIONAL
2930.JP,KITANOTATSUJIN
2931.JP,EUGLENA
3001.JP,KATAKURA INDUSTRIES
3002.JP,GUNZE
3003.JP,HULIC
3004.JP,SHINYEI KAISHA
3010.JP,KACHIKAIHATSU
3011.JP,BANNERS
3020.JP,APPLIED
3021.JP,PACIFIC NET
3022.JP,YAMASHITA MEDICAL INSTRUMENTS
3023.JP,RASA
3024.JP,CREATE
3028.JP,ALPEN
3030.JP,HUB
3031.JP,RACCOON
3034.JP,QOL
3035.JP,KTK
3036.JP,ALCONIX
3038.JP,KOBE BUSSAN
3039.JP,HEKI
3040.JP,SOLITON SYSTEMS
3041.JP,BEAUTY KADAN
3042.JP,SECUAVAIL
3043.JP,MODULAT
3045.JP,KAWASAKI
3046.JP,JIN
3048.JP,BIC CAMERA
3050.JP,DCM HOLDINGS
3053.JP,PEPPER FOOD SERVICE
3054.JP,HYPER
3058.JP,SANYODO HOLDINGS
3059.JP,HIRAKI
3063.JP,J GROUP HOLDINGS
3064.JP,MONOTARO
3065.JP,LIFE FOODS
3067.JP,TOKYO ICHIBAN FOODS
3068.JP,WDI
3069.JP,ASRAPPORT DINING
3070.JP,AMAGASA
3071.JP,STREAM
3073.JP,DIAMOND DINING
3075.JP,CHOUSHIMARU
3076.JP,AI HOLDINGS
3077.JP,HORIIFOODSERVICE
3079.JP,DVX
3080.JP,JASON
3082.JP,KICHIRI
3083.JP,C SMEN
3085.JP,ARCLAND SERVICE
3086.JP,J FRONT RETAILING
3087.JP,DOUTORNICHIRES HOLDINGS
3088.JP,MATSUMOTOKIYOSHI HOLDINGS
3089.JP,TECHNO ALPHA
3091.JP,BRONCO BILLY
3092.JP,START TODAY
3093.JP,TREASURE FACTORY
3094.JP,SUPER VALUE
3096.JP,OCEAN SYSTEM
3097.JP,THE MONOGATARI
3098.JP,COCOKARA FINE
3099.JP,ISETAN MITSUKOSHI HOLDINGS
3101.JP,TOYOBO
3103.JP,UNITIKA
3104.JP,FUJIBO HOLDINGS
3105.JP,NISSHINBO HOLDINGS
3106.JP,KURABO INDUSTRIES
3107.JP,DAIWABO HOLDINGS
3109.JP,SHIKIBO
3110.JP,NITTO BOSEKI
3111.JP,OMIKENSHI
3113.JP,OAK CAPITAL
3116.JP,TOYOTA BOSHOKU
3121.JP,MBK
3123.JP,SAIBO
3125.JP,SHINNAIGAI TEXTILE
3131.JP,SHINDEN HIGHTEX
3132.JP,MACNICA FUJI ELECTRONICS HOLDINGS
3133.JP,KAIHAN
3134.JP,HAMEE
3135.JP,MARKETENTERPRISE
3137.JP,FUNDELY
3138.JP,FUJISAN MAGAZINE SERVICE
3139.JP,LACTO JAPAN
3140.JP,IDEA INTERNATIONAL
3141.JP,WELCIA HOLDINGS
3143.JP,O WILL
3147.JP,LIC
3148.JP,CREATE SD HOLDINGS
3150.JP,GREMZ
3151.JP,VITAL KSK HOLDINGS
3153.JP,YASHIMA DENKI
3154.JP,MEDIUS HOLDINGS
3156.JP,UKC HOLDINGS
3157.JP,JUTEC HOLDINGS
3159.JP,MARUZEN CHI HOLDINGS
3160.JP,OOMITSU
3161.JP,AZEARTH
3165.JP,FUHRMEISTER ELECTRONICS
3166.JP,OCHI HOLDINGS
3167.JP,TOKAI HOLDINGS
3168.JP,KUROTANI
3169.JP,MISAWA
3170.JP,AISEI PHARMACY
3171.JP,MAXVALU KYUSHU
3172.JP,TEA LIFE
3173.JP,OSAKA KOHKI
3174.JP,HAPPINESS AND D
3175.JP,AP COMPANY
3176.JP,SANYO TRADING
3177.JP,ARIGATOU SERVICES COMPANY
3178.JP,CHIMNEY
3179.JP,SYUPPIN
3180.JP,BEAUTY GARAGE
3181.JP,KAITORI OKOKU
3182.JP,OISIX
3183.JP,WIN PARTNERS
3184.JP,INT CONGLOMERATE OF DISTRIBUTION FOR AUTOMOBILE HOLDINGS
3185.JP,DREAM VISION
3186.JP,NEXTAGE
3187.JP,SANWA COMPANY
3189.JP,ANAP
3190.JP,HOTMAN
3191.JP,JOYFUL HONDA
3192.JP,SHIROHATO
3193.JP,TORIKIZOKU
3194.JP,KIRINDO HOLDINGS
3195.JP,GENERATION PASS
3196.JP,HOTLAND
3197.JP,SKYLARK
3198.JP,SFP DINING
3199.JP,WATAHAN
3201.JP,THE JAPAN WOOL TEXTILE
3202.JP,DAITO WOOLEN SPINNING WEAVING COMPANY
3204.JP,TOABO
3205.JP,DAIDOH
3209.JP,KANEYO
3221.JP,YOSSIX
3222.JP,UNITED SUPER MARKETS HOLDINGS
3223.JP,SLD ENTERTAINMENT
3224.JP,HUMANWEB
3228.JP,SANEI ARCHITECTURE PLANNING
3230.JP,STAR MICA
3231.JP,NOMURA REAL ESTATE HOLDINGS
3232.JP,MIE KOTSU GROUP HOLDINGS
3236.JP,PROPERST
3237.JP,INTRANCE
3238.JP,CENTRAL GENERAL DEVELOPMENT
3241.JP,WILL
3242.JP,URBANET
3244.JP,SAMTY
3245.JP,DEAR LIFE
3246.JP,KOSE R E
3248.JP,EARLY AGE
3250.JP,A D WORKS
3251.JP,PARKING MANAGEMENT ORGANIZATION
3252.JP,NIPPON COMMERCIAL DEVELOPMENT
3254.JP,PRESSANCE
3258.JP,UNIZO HOLDINGS COMPANY
3261.JP,GRANDES
3264.JP,ASCOT
3266.JP,FUND CREATION GROUP
3271.JP,THE GLOBAL
3275.JP,HOUSECOM
3276.JP,JAPAN PROPERTY MANAGEMENT CENTER
3277.JP,SANSEI LANDIC
3280.JP,STRUST
3284.JP,HOOSIERS HOLDINGS
3286.JP,TRUST HOLDINGS
3288.JP,OPEN HOUSE
3289.JP,TOKYU FUDOSAN HOLDINGS
3291.JP,IIDA GROUP HOLDINGS
3293.JP,AZUMA HOUSE
3294.JP,E GRAND
3297.JP,TOUBUJYUHAN
3299.JP,MUGEN ESTATE
3300.JP,AMBITION
3302.JP,TEIKOKU SEN I
3306.JP,THE NIHON SEIMA
3313.JP,BOOKOFF
3315.JP,NIPPON COKE ENGINEERING COMPANY
3316.JP,TOKYO NISSAN COMPUTER SYSTEM
3317.JP,FLYING GARDEN
3318.JP,MEGANESUPER
3319.JP,GOLF DIGEST ONLINE
3320.JP,CROSS PLUS
3321.JP,MITACHI
3322.JP,ALPHA GROUP
3323.JP,RECOMM
3325.JP,KENKOCOM
3326.JP,RUNSYSTEM
3328.JP,BEENOS
3329.JP,TOWA FOOD SERVICE
3331.JP,ZAKKAYA BULLDOG
3333.JP,ASAHI
3341.JP,NIHON CHOUZAI
3344.JP,WONDERCORPORATION
3347.JP,TRUST
3349.JP,COSMOS PHARMACEUTICAL
3350.JP,RED PLANET JAPAN
3352.JP,BUFFALO
3353.JP,MEDICAL IKKOU
3355.JP,KURIYAMA HOLDINGS
3356.JP,TERILOGY
3358.JP,Y S FOOD
3359.JP,TAISEI
3360.JP,SHIP HEALTHCARE HOLDINGS
3361.JP,TOELL
3366.JP,ICHIROKUDO
3370.JP,FUJITA
3371.JP,SOFTCREATE HOLDINGS
3372.JP,KANMONKAI
3374.JP,NAIGAI TEC
3375.JP,ZOA
3376.JP,ONLY
3377.JP,BIKE O COMPANY
3382.JP,SEVEN I HOLDINGS
3385.JP,YAKUODO
3386.JP,COSMO BIO COMPANY
3387.JP,CREATE RESTAURANTS HOLDINGS
3388.JP,MEIJI ELECTRIC INDUSTRIES
3390.JP,UNIVERSAL SOLUTION SYSTEMS
3391.JP,TSURUHA HOLDINGS
3392.JP,DELICA FOODS
3393.JP,STARTIA
3394.JP,NETWORK VALUE COMPONENTS
3395.JP,SAINT MARC HOLDINGS
3396.JP,FELISSIMO
3397.JP,TORIDOLL
3398.JP,KUSURI NO AOKI
3399.JP,MARUCHIYO YAMAOKAYA
3401.JP,TEIJIN
3402.JP,TORAY INDUSTRIES
3405.JP,KURARAY
3407.JP,ASAHI KASEI
3408.JP,SAKAI OVEX
3409.JP,KITANIHON SPINNING
3415.JP,STUDIOUS
3416.JP,PIXTA
3417.JP,OHKI HEALTHCARE HOLDINGS
3418.JP,BALNIBARBI
3420.JP,KFC
3421.JP,INABA SEISAKUSHO
3423.JP,S E
3424.JP,MIYAKO
3426.JP,ATOM LIVIN TECH
3431.JP,MIYAJI ENGINEERING GROUP
3433.JP,TOCALO
3434.JP,ALPHA
3435.JP,SANKO TECHNO
3436.JP,SUMCO
3437.JP,TOKUDEN
3439.JP,MITSUCHI
3441.JP,SANNO
3443.JP,KAWADA TECHNOLOGIES
3444.JP,KIKUCHI SEISAKUSHO
3445.JP,RS TECHNOLOGIES
3452.JP,B LOT COMPANY
3454.JP,FIRST BROTHERS
3456.JP,TSON
3457.JP,HOUSE DO
3458.JP,CRE
3461.JP,PALMA
3501.JP,SUMINOE TEXTILE
3512.JP,NIPPON FELT COMPANY
3513.JP,ICHIKAWA
3514.JP,JAPAN VILENE COMPANY
3515.JP,FUJI
3521.JP,ECONACH HOLDINGS
3524.JP,NITTO SEIMO
3526.JP,ASHIMORI INDUSTRY
3528.JP,PROSPECT
3529.JP,ATSUGI
3551.JP,DYNIC
3553.JP,KYOWA LEATHER CLOTH
3569.JP,SEIREN
3571.JP,SOTOH
3577.JP,TOKAI SENKO
3578.JP,SOKO SEIREN
3580.JP,KOMATSU SEIREN
3583.JP,AUBEX
3591.JP,WACOAL HOLDINGS
3593.JP,HOGY MEDICAL
3597.JP,JICHODO
