1305.JP,DAIWA ETF TOPIX
1477.JP,ISHARES MSCI JAPAN MINIMUM VOLATILITY EX REITS ETF
1478.JP,ISHARES MSCI JAPAN HIGH DIVIDEND ETF
1540.JP,JAPAN PHYSICAL GOLD ETF
1541.JP,JAPAN PHYSICAL PLATINUM ETF
1542.JP,JAPAN PHYSICAL SILVER ETF
1543.JP,JAPAN PHYSICAL PALLADIUM ETF
1545.JP,NEXT FUNDS NASDAQ 100 ETF
1546.JP,NEXT FUNDS DOW JONES INDUSTRIAL AVERAGE ETF
1547.JP,LISTED INDEX FUND US EQUITY S P500
1548.JP,LISTED INDEX FUND CHINA H SHARE HANG SENG CHINA
1549.JP,LISTED INDEX FUND NIFTY50 FUTURES INDIA EQUITY
1550.JP,MAXIS GLOBAL EQUITY MSCI KOKUSAI ETF
1551.JP,JASDAQ TOP20 ETF
1552.JP,KOKUSAI S P500 VIX SHORT TERM FUTURES INDEX ETF
1554.JP,LISTED INDEX FUND WORLD EQUITY MSCI ACWI EX JAPAN
1555.JP,LISTED INDEX FUND AUSTRALIAN REIT S P/ASX200 A REIT
1557.JP,SPDR S P500 ETF TRUST
1559.JP,NEXT FUNDS THAI STOCK SET50 ETF
1560.JP,NEXT FUNDS FTSE BURSA MALAYSIA KLCI ETF
1561.JP,KOKUSAI S P500 VIX MID TERM FUTURES INDEX ETF
1562.JP,YOURMIRAI TOPIX ASIA FOCUS ETF
1563.JP,TSE MOTHERS CORE ETF
1565.JP,NIKKEI 225 COVERED CALL ETF
1566.JP,LISTED INDEX FUND EMERGING BOND BARCLAYS LOCAL EM
1567.JP,MAXIS TOPIX RISK CONTROL 5% ETF
1568.JP,TOPIX BULL 2X ETF
1569.JP,TOPIX BEAR 1X ETF
1570.JP,NEXT FUNDS NIKKEI 225 LEVERAGED INDEX ETF
1571.JP,NEXT FUNDS NIKKEI 225 INVERSE INDEX ETF
1572.JP,CHINA H SHARE BULL 2X ETF
1573.JP,CHINA H SHARE BEAR 1X ETF
1574.JP,MAXIS TOPIX RISK CONTROL 10% ETF
1575.JP,CHINAAMC CSI 300 INDEX ETF JDR
1576.JP,CSOP FTSE CHINA A50 ETF
1577.JP,NEXT FUNDS NOMURA JAPAN EQUITY HIGH DIVIDEND 70 ETF
1578.JP,LISTED INDEX FUND NIKKEI 225 MINI
1579.JP,NIKKEI 225 BULL 2X ETF
1580.JP,NIKKEI 225 BEAR 1X ETF
1581.JP,ISHARES MSCI KOKUSAI ETF JDR
1582.JP,ISHARES CORE MSCI EMERGING MARKETS ETF JDR
1583.JP,ISHARES MSCI FRONTIER 100 ETF JDR
1584.JP,SAMSUNG KODEX SAMSUNG GROUP SECURITIES ETI TRUST SHARE
1585.JP,DAIWA ETF TOPIX EX FINANCIALS
1586.JP,LISTED INDEX FUND TOPIX EX FINANCIALS
1587.JP,ISHARES S P 100 ETF JDR
1588.JP,ISHARES RUSSELL 2000 ETF JDR
1589.JP,ISHARES HIGH DIVIDEND ETF JDR
1590.JP,ISHARES U S REAL ESTATE ETF JDR
1591.JP,NEXT FUNDS JPX NIKKEI INDEX 400 ETF
1592.JP,LISTED INDEX FUND JPX NIKKEI INDEX 400
1593.JP,MAXIS JPX NIKKEI INDEX 400 ETF
1595.JP,NZAM ETF J REIT INDEX
1596.JP,NZAM ETF TOPIX EX FINANCIALS
1597.JP,MAXIS J REIT ETF
1598.JP,NEXT FUNDS RUSSELL/NOMURA FUNDAMENTAL INDEX ETF
1599.JP,DAIWA ETF JPX NIKKEI 400
1610.JP,DAIWA ETF TOPIX ELECTRIC APPLIANCES
1612.JP,DAIWA ETF TOPIX BANKS
1613.JP,TOPIX ELECTRIC APPLIANCES ETF
1615.JP,TOPIX BANKS ETF
1617.JP,NEXT FUNDS TOPIX 17 FOODS ETF
1618.JP,NEXT FUNDS TOPIX 17 ENERGY RESOURCES ETF
1619.JP,NEXT FUNDS TOPIX 17 CONSTRUCTION MATERIALS ETF
1620.JP,NEXT FUNDS TOPIX 17 RAW MATERIALS CHEMICALS ETF
1621.JP,NEXT FUNDS TOPIX 17 PHARMACEUTICAL ETF
1622.JP,NEXT FUNDS TOPIX 17 AUTOMOBILES TRANSPORTATION EQUIPMENT ETF
1623.JP,NEXT FUNDS TOPIX 17 STEEL NONFERROUS ETF
1624.JP,NEXT FUNDS TOPIX 17 MACHINERY ETF
1625.JP,NEXT FUNDS TOPIX 17 ELECTRIC PRECISION INSTRUMENTS ETF
1626.JP,NEXT FUNDS TOPIX 17 IT SERVICES OTHERS ETF
1627.JP,NEXT FUNDS TOPIX 17 ELECTRIC POWER GAS ETF
1628.JP,NEXT FUNDS TOPIX 17 TRANSPORTATION LOGISTICS ETF
1629.JP,NEXT FUNDS TOPIX 17 COMMERCIAL WHOLESALE TRADE ETF
1630.JP,NEXT FUNDS TOPIX 17 RETAIL TRADE ETF
1631.JP,NEXT FUNDS TOPIX 17 BANKS ETF
1632.JP,NEXT FUNDS TOPIX 17 FINANCIALS EX BANKS ETF
1633.JP,NEXT FUNDS TOPIX 17 REAL ESTATE ETF
1634.JP,DAIWA ETF TOPIX 17 FOODS
1635.JP,DAIWA ETF TOPIX 17 ENERGY RESOURCES
1636.JP,DAIWA ETF TOPIX 17 CONSTRUCTION MATERIALS
1637.JP,DAIWA ETF TOPIX 17 RAW MATERIALS CHEMICALS
1638.JP,DAIWA ETF TOPIX 17 PHARMACEUTICAL
1639.JP,DAIWA ETF TOPIX 17 AUTOMOBILES TRANSPORTATION EQUIPMENT
1640.JP,DAIWA ETF TOPIX 17 STEEL NONFERROUS METALS
1641.JP,DAIWA ETF TOPIX 17 MACHINERY
1642.JP,DAIWA ETF TOPIX 17 ELECTRIC APPLIANCES PRECISION INSTRUMENTS
1643.JP,DAIWA ETF TOPIX 17 IT SERVICES OTHERS
1644.JP,DAIWA ETF TOPIX 17 ELECTRIC POWER GAS
1645.JP,DAIWA ETF TOPIX 17 TRANSPORTATION LOGISTICS
1646.JP,DAIWA ETF TOPIX 17 COMMERCIAL WHOLESALE TRADE
1647.JP,DAIWA ETF TOPIX 17 RETAIL TRADE
1648.JP,DAIWA ETF TOPIX 17 BANKS
1649.JP,DAIWA ETF TOPIX 17 FINANCIALS EX BANKS
1650.JP,DAIWA ETF TOPIX 17 REAL ESTATE
1670.JP,MAXIS S P MITSUBISHI GROUP ETF
1671.JP,SIMPLEX WTI ETF
1672.JP,ETF PHYSICAL GOLD
1673.JP,ETF PHYSICAL SILVER
1674.JP,ETF PHYSICAL PLATINUM
1675.JP,ETF PHYSICAL PALLADIUM
1676.JP,ETF PHYSICAL PM BASKET
1677.JP,LISTED INDEX FUND INT BOND CITI WGBI
1678.JP,NEXT FUNDS CNX NIFTY LINKED ETF
1679.JP,SIMPLE X NY DOW JONES INDEX ETF
1680.JP,LISTED INDEX FUND INT DEVELOPED COUNTRIES EQUITY
1681.JP,LISTED INDEX FUND INT EMERGING COUNTRIES EQUITY
1682.JP,NEXT FUNDS NIKKEI TOCOM PLATINUM INDEX LINKED EXCHANGE
1683.JP,MIZUHO GOLD ETF
1684.JP,ETF ALL COMMODITIES
1685.JP,ETF ENERGY
1686.JP,ETF INDUSTRIAL METALS
1687.JP,ETF AGRICULTURE
1688.JP,ETF GRAINS
1689.JP,ETF NATURAL GAS
1690.JP,ETF WTI CRUDE OIL
1691.JP,ETF GASOLINE
1692.JP,ETF ALUMINIUM
1693.JP,ETF COPPER
1694.JP,ETF NICKEL
1695.JP,ETF WHEAT
1696.JP,ETF CORN
1697.JP,ETF SOYBEANS
1698.JP,LISTED INDEX FUND JAPAN HIGH DIVIDEND
1699.JP,NEXT FUNDS NOMURA CRUDE OIL LONG INDEX LINKED EXCHANGE
2021.JP,IPATH S P GSCI TOTAL RETURN INDEX JDR
2022.JP,IPATH S P GSCI PRECIOUS METALS INDEX TOTAL RETURN JDR
2023.JP,IPATH S P GSCI INDUSTRIAL METALS INDEX TOTAL RETURN JDR
2024.JP,IPATH S P GSCI ENERGY INDEX TOTAL RETURN JDR
2025.JP,IPATH S P GSCI AGRICULTURAL INDEX TOTAL RETURN JDR
2026.JP,IPATH S P GSCI GRAIN INDEX TOTAL RETURN JDR
2027.JP,IPATH S P GSCI SOFTS INDEX TOTAL RETURN JDR
2028.JP,IPATH S P GSCI LIVESTOCK INDEX TOTAL RETURN JDR
2029.JP,IPATH S P 500 VIX MID TERM FUTURES JDR
2030.JP,IPATH S P 500 VIX SHORT TERM FUTURES JDR
2031.JP,NEXT NOTES HSI LEVERAGED ETN
2032.JP,NEXT NOTES HSI SHORT ETN
2033.JP,NEXT NOTES KOSPI200 LEVERAGE ETN
2034.JP,NEXT NOTES F KOSPI200 INVERSE ETN
2035.JP,NEXT NOTES NIKKEI 225 VI FUTURES INDEX ETN
2036.JP,NEXT NOTES NIKKEI TOCOM LEVERAGED GOLD ETN
2037.JP,NEXT NOTES NIKKEI TOCOM INVERSE GOLD ETN
2038.JP,NEXT NOTES NIKKEI TOCOM LEVERAGED CRUDE OIL ETN
2039.JP,NEXT NOTES NIKKEI TOCOM INVERSE CRUDE OIL ETN
2040.JP,NEXT NOTES DJIA PR JPY MONTHLY HEDGED LEVERAGED X2 ETN
2041.JP,NEXT NOTES DJIA TR JPY MONTHLY HEDGED INVERSE X1 ETN
2042.JP,NEXT NOTES TOKYO STOCK EXCHANGE MOTHERS INDEX ETN
2043.JP,NEXT NOTES STOXX ASEAN FIVE SELECT DIVIDEND 50 NR JPY ETN
2044.JP,NEXT NOTES S P 500 DIVIDEND ARISTOCRATS NET TOTAL RETURN INDEX E
2045.JP,NEXT NOTES S P SINGAPORE REIT NET TOTAL RETURN INDEX ETN
2046.JP,NEXT NOTES NIFTY PR 2X LEVERAGE INDEX ETN
2047.JP,NEXT NOTES NIFTY TOTAL RETURNS TR DAILY INVERSE INDEX ETN
2048.JP,NEXT NOTES NOMURA JAPAN EQUITY HIGH DIVIDEND 70 NET TOTAL RETURN
2049.JP,NEXT NOTES S P500 VIX SHORT TERM FUTURES INVERSE DAILY EXCESS RE
3226.JP,NIPPON ACCOMMODATIONS FUND
3227.JP,MCUBS MIDCITY INVESTMENT
3234.JP,MORI HILLS REIT INVESTMENT
3249.JP,INDUSTRIAL INFRASTRUCTURE FUND INVESTMENT
3263.JP,DAIWA HOUSE REIT INVESTMENT
3269.JP,ADVANCE RESIDENCE INVESTMENT
3278.JP,KENEDIX RESIDENTIAL INVESTMENT
3279.JP,ACTIVIA PROPERTIES
3281.JP,GLP J REIT
3282.JP,COMFORIA RESIDENTIAL REIT INC
3283.JP,NIPPON PROLOGIS REIT
3287.JP,HOSHINO RESORTS REIT
3290.JP,SIA REIT
3292.JP,AEON REIT INVESTMENT
3295.JP,HULIC REIT
3296.JP,NIPPON REIT INVESTMENT
3298.JP,INVESCO OFFICE J REIT
3308.JP,NIPPON HEALTHCARE INVESTMENT
3309.JP,SEKISUI HOUSE REIT
3451.JP,TOSEI REIT INVESTMENT
3453.JP,KENEDIX RETAIL REIT
3455.JP,HEALTHCARE MEDICAL INVESTMENT
3459.JP,SAMTY RESIDENTIAL INVESTMENT
3460.JP,JAPAN SENIOR LIVING INVESTMENT
3462.JP,NOMURA REAL ESTATE MASTER FUND
3463.JP,ICHIGO HOTEL REIT INVESTMENT
8301.JP,100 BANK OF JAPAN
8421.JP,100 000 SHINKIN CENTRAL BANK
8682.JP,MORGAN STANLEY ASIA PACIFIC FUND
8721.JP,VENTURE REVITALIZE INVESTMENT
8951.JP,NIPPON BUILDING FUND
8952.JP,JAPAN REAL ESTATE INVESTMENT
8953.JP,JAPAN RETAIL FUND INVESTMENT
8954.JP,ORIX JREIT
8955.JP,JAPAN PRIME REALTY INVESTMENT
8956.JP,PREMIER INVESTMENT
8957.JP,TOKYU REIT
8958.JP,GLOBAL ONE REAL ESTATE INVESTMENT
8960.JP,UNITED URBAN INVESTMENT
8961.JP,MORI TRUST SOGO REIT
8963.JP,INVINCIBLE INVESTMENT
8964.JP,FRONTIER REAL ESTATE INVESTMENT
8966.JP,HEIWA REAL ESTATE REIT
8967.JP,JAPAN LOGISTICS FUND
8968.JP,FUKUOKA REIT
8972.JP,KENEDIX OFFICE INVESTMENT
8973.JP,SEKISUI HOUSE SI RESIDENTIAL INVESTMENT
8975.JP,ICHIGO OFFICE REIT INVESTMENT
8976.JP,DAIWA OFFICE INVESTMENT
8977.JP,HANKYU REIT
8979.JP,STARTS PROCEED INVESTMENT
8982.JP,TOP REIT
8984.JP,DAIWA HOUSE RESIDENTIAL INVESTMENT
8985.JP,JAPAN HOTEL REIT INVESTMENT
8986.JP,JAPAN RENTAL HOUSING INVESTMENTS
8987.JP,JAPAN EXCELLENT
