01C,01CYBATON
BPX,BPX
BRA,BRASTER
BRG,BERLING
BRI,BRIJU
BRO,GONTYNIEC
BRS,BORYSZEW
BRU,BORUTA
BSC,BSCDRUK
BST,BEST
BTG,BLUETAX
BTM,BYTOM
BTX,BETOMAX
BUM,BOMEDIA
BVT,BVT
BWO,BUWOG
BZW,BZWBK
CAR,INTERCARS
CCC,CCC
CCE,CCENERGY
CCS,CCS
CCT,CCTOOLS
CDL,CDRL
CDR,CDPROJEKT
CEZ,CEZ
CFB,CFBPS
CFI,CFI
CFL,CASHFLOW
CHS,CHEMOS
CIE,CIECH
CIG,CIGAMES
CLC,COLUMBUS
CLD,CLOUD
CLE,COALENERG
CLO,COLOMEDIC
CLS,CALESCO
CMC,COMECO
CMP,COMP
CMR,COMARCH
CNG,NOWAGALA
CNT,CNT
COG,COGNOR
COL,COLIAN
COM,COMPRESS
COR,CORELENS
CPA,CAPITAL
CPD,CELTIC
CPG,CPGROUP
CPL,COMPERIA
CPS,CYFRPLSAT
CRM,CORMAY
CRP,CEREALPLT
CRS,COPERNIC
CSR,CASPAR
CSY,CSY
CTC,CALATRAVA
CTE,CTE
CTF,CENTURION
CTG,CUBEITG
CTS,CITYSERV
CWP,CWPE
CZT,CZTOREBKA
D24,DORADCY24
DAM,DENTAMDC
DBC,DEBICA
DCR,DECORA
DEK,DEKPOL
DEL,DELKO
DEV,DEVORAN
DFG,DASE
DGA,DGA
DGL,DIGITAL
DKR,DEKTRA
DLK,DOMLEK
DNS,DANKS
DOA,DOMENOMAN
DOM,DOMDEV
DPL,DROZAPOL
DRE,DREWEX
DRP,DROP
DTP,DTP
DUD,DUDA
DUO,DUON
DYW,DYWILAN
EAH,ESOTIQ
EAT,AMREST
EBC,EBC
EBCA,EBC-PDA
EBX,EKOBOX
EC2,EC2
ECA,ECA
ECD,ECARD
ECH,ECHO
ECK,EUROSNACK
ECL,EASYCALL
ECO,ECOTECH
ECR,ECERAMICS
EDI,EDINVEST
EDN,EDISON
EEI,ESPEROTIA
EEX,EKOEXPORT
EFE,EFENERGII
EFH,EFH
EFI,EFICOM
EFK,EFEKT
EFX,EFIXDM
EGB,EGB
EGH,EKOPOL
EGS,ERGIS
EHG,EUROHOLD
EKA,EKANCELAR
EKG,EKOKOGEN
EKP,ELKOP
EKS,EKIOSK
ELB,ELBUDOWA
ELM,EMONT
ELT,ELEKTROTI
ELZ,ELZAB
EMC,EMCINSMED
EMF,NFIEMF
EMM,EMMERSON
EMP,EMPERIA
EMT,ELEMENTAL
EMU,EMUZYKA
ENA,ENEA
ENE,ENELMED
ENG,ENERGA
ENI,ENERGOINS
ENP,ENAP
ENTA,ENTER-PDA
EON,EONET
EPI,EPIGON
ERB,ERBUD
ERC,EUROCENT
ERG,ERG
ERN,ERNE
ERS,ERS
ESC,EASTSIDE
ESK,ESKIMOS
ESS,ESSYSTEM
EST,ESTAR
ETL,EUROTEL
ETR,EQUITIER
ETX,EUROTAX
EUC,EUCO
EUR,EUROCASH
EVE,EVEREST
EXA,EXAMOBILE
EXC,EXCELLENC
EXL,EXILLON
EZO,EZO
F51,FARM51
FAM,FAM
FAV,FACHOWCY
FCL,FARMACOL
FEE,FEERUM
FEG,FORTUNA
FER,FERRUM
FFI,FASTFIN
FGT,FENGHUA
FHD,FHDOM
FIN,FINHOUSE
FKD,FABRYKAKD
FLD,FLUID
FLY,FLYPL
FMF,FAMUR
FON,FON
FOR,FOREVEREN
FOT,FOTA
FPO,FORPOSTA
FRO,FERRO
FSG,FASING
FTE,FORTE
FTN,FITEN
FUT,FUTURIS
GAL,GALVO
GCI,GCINVEST
GCN,GROCLIN
GDI,GOODIDEA
GEM,GRUPAEMM
GEN,GENOMED
GEO,GEOINVENT
GEU,EXOUPOS
GJA,GRJAGUAR
GKI,IMMOBILE
GKP,GEKOPLAST
GKS,GKSKAT
GLC,GLCOSMED
GLG,GLGPHARMA
GMM,GREMMEDIA
GNB,GETINOBLE
GNG,GENRG
GNR,GENERGY
GOL,GOLAB
GPP,GPPI
GPW,GPW
GRC,GRUPAREC
GRE,GREENENER
GRI,GINOROSSI
GRJ,GRAJEWO
GRL,GRAAL
GRM,GREMPCO
GRN,GRODNO
GRP,GRAPHIC
GRT,GRAVITON
GRV,GORENJE
GTC,GTC
GTF,GOTFI
GTN,GETIN
GTP,GEOTERM
GTR,GLOBALTR
GTS,GEOTRANS
GTY,GTRINITY
GWR,GWARANT
HDR,HYDROTOR
HEF,HEFAL
HEL,HELIO
HFT,HFTGROUP
HLD,HOLLYWOOD
HMI,HMINWEST
HOR,HORTICO
HOT,HOTBLOK
HPS,HYDRAPRES
HRC,GRUPAHRC
HRP,HARPER
HRS,HERKULES
HRT,HURTIMEX
HTE,HYDROPHI
HTM,HUTMEN
HTN,HETAN
HUB,HUBSTYLE
HWE,HAWE
HYP,HYPERION
I3D,I3D
IAI,IAI
IAP,IAP
IBC,IBCPOLSKA
IBS,IBSM
ICA,INCANA
ICD,ICPD
ICM,INNOCOMM
ICP,ICPGROUP
IDA,IDEABANK
IDE,IDEON
IDG,INDYGO
IDH,IDH
IDM,IDMSA
IDT,INDATA
IFA,INFRA
IFC,IFCAPITAL
IFM,IFM
IFR,IFSA
IFS,INFOSYS
IGN,INNOGENE
IGT,IGORIA
IIA,IIAAV
IMC,IMCOMPANY
IMG,IMAGIS
IMP,IMPERA
IMS,IMS
IMX,IVMX
INB,INBOOK
INC,INC
IND,INDYKPOL
INF,INTERFERI
ING,INGBSK
INK,INSTALKRK
INL,INTROL
INP,INPRO
INT,INTERNITY
INV,INVISTA
INW,INWESTPL
INX,INDEXMEDI
IOD,IPODS
IPE,IPOPEMA
IPF,PROVIDENT
IPL,IMPEL
IPO,INTERSPPL
IPT,INPOST
IPX,IMPEXMET
IQP,IQP
IRL,INTERAOLT
ISA,IPOSA
ISG,ISIAG
IST,INFOSCAN
ITB,INTERBUD
ITG,INTEGERPL
ITL,INTELIWIS
IUS,IU
IVC,INVICO
IVE,INVESTEKO
IVT,INVENTI
IZB,IZOBLOK
IZO,IZOLACJA
IZS,IZOSTAL
JAN,JANTAR
JHM,JHMDEV
JJB,JUJUBEE
JJO,JJAUTO
JRH,JRHOLDING
JSW,JSW
JWC,JWCONSTR
JWW,JWWINVEST
K2I,K2INTERNT
KAM,KAMPA
KAN,KANIA
KBD,KBDOM
KBJ,KBJ
KCH,KRAKCHEM
KCI,KCI
KDM,KDMSHIPNG
KER,KERNEL
KFL,KOFOLA
KGH,KGHM
KGLA,KRKGL-PDA
KGN,KOGENERA
KIN,KLEBAINV
KKH,KKHERBAL
KLN,KLON
KME,KME
KMP,KOMPAP
KMS,KOMPLEKS
KOF,KOFOL
KOM,KOMPUTRON
KOP,KOPAHAUS
KOR,KORBANK
KPC,KUPIEC
KPD,KPPD
KPI,KANCELWEC
KPL,KINOPOL
KPX,KOPEX
KRC,KREC
KRI,KREDYTIN
KRK,KRKA
KRS,KERDOS
KRU,KRUK
KSG,KSGAGRO
KST,KONSSTALI
KSW,KRUSZWICA
KTY,KETY
KVT,KRVITAMIN
KVTA,KRVITAMIN-PDA
KZS,KREZUS
LAB,LABOPRINT
LAN,LANGLOO
LBD,LOKATYBUD
LBT,LIBET
LBW,LUBAWA
LCC,LCCORP
LEN,LENA
LEO,LEONIDAS
LET,LETUS
LGT,LGTRADE
LGZ,LOGZACT
LKD,LOKUM
LKS,LKDESIGN
LPP,LPP
LPS,LAURENPES
LRQ,LARQ
LSH,LSTECHHOM
LSI,LSISOFT
LSR,LASERMED
LTG,LIBERTY
LTS,LOTOS
LTX,LENTEX
LUG,LUG
LUX,LUXIMA
LVC,LIVECHAT
LWB,BOGDANKA
LYD,LOYD
LZM,LZMO
M4B,M4B
MAB,MABION
MAD,MADKOM
MAG,MAGELLAN
MAK,MAKARONPL
MAR,MARSOFT
MAX,MAXIMUS
MBF,MBFGROUP
MBK,MBANK
MBP,MBPARTNER
MBR,MOBRUK
MBW,MBWS
MCI,MCI
MCL,MCLOGIC
MCP,MEDIACAP
MCR,MERCOR
MDG,MEDICALG
MDI,MDIENERGIA
MDN,MEDIANPOL
MDS,MIDAS
MDV,MONDAY
MED,MED
MEG,MEGARON
MEI,MERIT
MER,MERA
MEX,MEXPOLSKA
MFD,MFOOD
MFO,MFO
MGA,MEGASONIC
MGF,MAGNIFICO
MGM,MGMSYS
MGS,MGAMES
MID,MIDVEN
MIL,MILLENNIUM
MIR,MIRACULUM
MIT,MIT
MLB,MAKOLAB
MLD,MOLMEDICA
MLG,MLPGROUP
MLK,MILKILAND
MLP,MILKPOL
MMA,MALKOWSKI
MMC,MMCPL
MMD,MILESTONE
MNC,MENNICA
MND,MINERAL
MNI,MNI
MNS,MENNICASK
MNX,MINOX
MOB,MOBINI
MOD,MODECOM
MOE,MODE
MOJ,MOJ
MOL,MOL
MOM,MOMO
MON,MONNARI
MPY,MPAY
MRA,MAKORA
MRB,MIRBUD
MRC,MERCATOR
MRH,HAMBURGER
MRK,MARKA
MSP,MOSTALPLC
MSW,MOSTALWAR
MSX,MSXRESOUR
MSZ,MOSTALZAB
MTL,MEDIATEL
MTR,MOTORICUS
MVP,MARVIPOL
MWT,MWTRADE
MXP,MAXIPIZZA
MYS,MYSLAW
MZA,MUZA
MZN,MORIZON
NAN,NANOTEL
NCT,NORTCOAST
NEM,NETMEDIA
NET,NETIA
NEU,NEUCA
NFP,NFPL
NGS,NICOGAMES
NIN,NAVIMORIN
NMX,NEMEX
NOV,NOVINA
NTS,NOTORIA
NTT,NTTSYSTEM
NTW,NETWISE
NVA,PANOVA
NVT,NOVITA
NVV,NOVAVIS
NWA,NWAI
NWG,NEWAG
NWR,NEWWORLDR
OBL,ORZBIALY
ODL,ODLEWNIE
OEG,OLYMPIC
OIL,PETROLINV
ONC,ONICO
OPE,OPENNET
OPF,OPENFIN
OPG,ORCOGROUP
OPL,ORANGEPL
OPM,OPTEAM
OPN,OPONEO.PL
OPT,OPTIZENLB
ORB,ORBIS
ORG,ORGANIC
ORL,ORZLOPONY
ORN,ORION
ORP,ORPHEE
OTM,OTMUCHOW
OTS,OTLOG
OVO,OVOSTAR
P24,PRESENT24
PAT,PATENTUS
PBB,PREFABET
PBF,PBSFINANSE
PBG,PBG
PBX,PEKABEX
PCE,POLICE
PCG,PCGUARD
PCI,PCCINTER
PCM,PCM
PCR,PCCROKITA
PCV,PCHVENTURE
PCX,PCCEXOL
PCZ,PCZ
PDZ,PRAIRIE
PEK,PEKAES
PEL,PELION
PEM,PEMANAGER
PEN,PHOTON
PEO,PEKAO
PEP,PEP
PEX,PEIXIN
PFD,PATFUND
PFH,PFH
PFM,PFMEDICAL
PFR,PREMFOOD
PGD,PAGED
PGE,PGE
PGM,PMPG
PGN,PGNIG
PGO,PGODLEW
PGP,PGPPOLONI
PGS,PEGAS
PHN,PHN
PHR,PHARMENA
PIK,PIK
PIL,PILAB
PIW,PLATYNINW
PJP,PROJPRZEM
PKN,PKNORLEN
PKO,PKOBP
PKP,PKPCARGO
PLA,POLNA
PLE,PROPERTYF
PLF,POLFA
PLI,PLATIGE
PLM,POLMAN
PLT,POLCOLORIT
PLX,PLASTBOX
PLZ,PLAZACNTR
PMA,PRIMAMODA
PMG,PEMUG
PMK,PLAYMAKER
PMP,PAMAPOL
PMT,PRIME
PND,POLNORD
POL,POLYMETAL
POM,POLMED
POZ,POZBUD
PPC,PLASTPACK
PPR,PPRICE
PPS,PEPEES
PRC,PROCHNIK
PRD,PROCAD
PRE,PRESCO
PRF,PRAGMAFA
PRI,PRAGMAINK
PRK,KLASZTORNE
PRL,PROLOG
PRM,PROCHEM
PRN,PARTNER
PRO,PROMISE
PRS,PRYMUS
PRT,PROTEKTOR
PSF,PLANETSOF
PSG,PSG
PSM,PLASMA
PST,PRESTO
PSW,PGSSOFT
PTN,POLTRONIC
PTW,PTWP
PUE,ZPUE
PWM,PWRMEDIA
PWX,POLWAX
PXM,POLIMEXMS
PYL,PYLON
PZU,PZU
QMK,QUMAK
QNT,QUANTUM
QRS,QUERCUS
QRT,QUART
RAF,RAFAMET
RBC,RUBICON
RBS,ROBINSON
RBW,RAINBOW
RCA,ROCCA
RCW,RUCHCHORZ
RDG,READGENE
RDL,RADPOL
RDN,REDAN
REG,REGNON
REM,REMEDIS
RES,RESBUD
REV,REVITUM
RFK,RAFAKO
RHD,REINHOLD
RLP,RELPOL
RMK,REMAK
RNK,RANKPROGR
ROB,ROBYG
RON,RONSON
ROT,ROTOPINO
ROV,ROVITA
RPC,ROPCZYCE
RSE,ROVESE
RSY,RSY
RUN,RUNICOM
RWD,REDWOOD
RWL,RAWLPLUG
S4E,S4E
SAN,SANTANDER
SAP,SAPLING
SAR,SARE
SBE,SOFTBLUE
SCG,SILVACG
SCO,SCOPAK
SCS,STEMCELLS
SEA,SEKA
SEK,SEKO
SEL,SELENAFM
SEN,SERINUS
SES,SESCOM
SET,SETANTA
SEV,SEVENET
SFD,SFD
SFG,SILVANO
SFI,STARFIT
SFK,SFKPOLKAP
SFN,SFERANET
SFS,SFINKS
SGN,SYGNITY
SGR,SADOVAYA
SHD,SOHODEV
SHG,STARHEDGE
SKA,SNIEZKA
SKH,SKARBIEC
SKL,SKYLINE
SKN,SAKANA
SKO,SKOK
SKT,SKOTAN
SLV,SELVITA
SMA,SEAMASTER
SME,SIMPLE
SMK,SMOKESHOP
SMS,SMSKREDYT
SMT,SMT
SNK,SANOK
SNS,SYNTHOS
SNT,SYNEKTIK
SNW,SANWIL
SNX,SUNEX
SOL,SOLAR
SON,SONEL
SP1,SPAC1
SPC,SPC
SPH,SOPHARMA
SSK,SURFLAND
SSO,SILESIA
STD,STANDREW
STE,SITE
STF,STALPROFI
STK,STOPKLA
STP,STALPROD
STT,STANUSCH
STX,STALEXP
SUL,SUMMALING
SUN,SUNTECH
SUW,SUWARY
SWD,SWISSMED
SWG,SECOGROUP
SWP,SWISSPSM
SYM,SYMBIO
SZR,SZAR
T2I,T2INVEST
TAB,TABLEO
TAR,TARCZYNSKI
TDX,TECHMADEX
TEL,TELL
TER,TERESA
TFO,TFONE
TIL,TILIA
TIM,TIM
TLG,TELGAM
TLO,TELESTO
TLS,TELESTR
TLV,TELIANI
TLX,TALEX
TME,TERMOEXP
TMP,TELEMEDPL
TMR,TATRY
TNX,TALANX
TOA,TOYA
TOR,TORPOL
TOS,TAMEX
TPE,TAURONPE
TPM,TOPMEDICA
TPR,TROPHYRES
TRC,TRICEPS
TRI,TRITON
TRK,TRAKCJA
TRN,TRANSPOL
TRR,TERMOREX
TSG,TESGAS
TVL,TRAVELPL
TXF,TAXUSFUND
TXN,TAXNET
TYP,ARTP
U2K,UNIMA
UBT,UBOATLINE
UCG,UNICREDIT
ULM,ULMA
UNI,UNIBEP
UNT,UNIMOT
UNW,UNIWHEELS
URS,URSUS
UTD,UNITED
VCP,VCP
VDS,VIDIS
VED,VEDIA
VEL,VELTO
VER,MPLVERBUM
VGO,VIGOSYS
VIA,VIATRON
VIN,VINDEXUS
VIV,VISION
VKT,VAKOMTEK
VNT,VENITI
VOT,VOTUM
VOX,VOXEL
VRB,VERBICOM
VRT,VARIANT
VST,VISTULA
VTE,VERTE
VTG,VANTAGE
VTI,VENTUREIN
VTL,VISTAL
VVD,VIVID
WAS,WASKO
WAX,WADEX
WBY,WBAY
WDB,WDBBU
WDX,WDX
WES,WESTAISIC
WHH,WERTHHOLZ
WIK,WIKANA
WIS,WINVEST
WLB,WILBO
WLT,WIELTON
WOD,WODKAN
WOJ,WOJAS
WPL,WIRTUALNA
WPX,WEGLOPEX
WRE,WESTREAL
WRL,WIERZYCL
WSE,WORKSERV
WST,WISTIL
WTN,WITTCHEN
WTNA,WITTCHEN-PDA
WWL,WAWEL
WXF,WARIMPEX
XPL,XPLUS
XSM,XSYSTEM
YAN,NEPTIS
YEL,YELLOWHAT
YOU,YOURIMAGE
ZAP,PULAWY
ZEP,ZEPAK
ZKA,ZETKAMA
ZMT,ZAMET
ZRE,ZREMB
ZST,ZASTAL
ZUE,ZUE
ZUK,STAPORKOW
ZWC,ZYWIEC
